# nvm_addr_read: {pmode: DUAL}
0x0000000001f4000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 500, sec: 0}
0x0000000101f4000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 500, sec: 1}
0x0000000201f4000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 500, sec: 2}
0x0000000301f4000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 500, sec: 3}
0x0000010001f4000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 500, sec: 0}
0x0000010101f4000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 500, sec: 1}
0x0000010201f4000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 500, sec: 2}
0x0000010301f4000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 500, sec: 3}
0x0000000000c8000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 200, sec: 0}
0x0000000100c8000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 200, sec: 1}
0x0000000200c8000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 200, sec: 2}
0x0000000300c8000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 200, sec: 3}
0x0000010000c8000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 200, sec: 0}
0x0000010100c8000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 200, sec: 1}
0x0000010200c8000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 200, sec: 2}
0x0000010300c8000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 200, sec: 3}
0x000000000000000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 000, sec: 0}
0x000000010000000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 000, sec: 1}
0x000000020000000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 000, sec: 2}
0x000000030000000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 000, sec: 3}
0x000001000000000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 000, sec: 0}
0x000001010000000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 000, sec: 1}
0x000001020000000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 000, sec: 2}
0x000001030000000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 000, sec: 3}
0x000000000006000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 006, sec: 0}
0x000000010006000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 006, sec: 1}
0x000000020006000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 006, sec: 2}
0x000000030006000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 006, sec: 3}
0x000001000006000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 006, sec: 0}
0x000001010006000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 006, sec: 1}
0x000001020006000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 006, sec: 2}
0x000001030006000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 006, sec: 3}
