# nvm_addr_write : {pmode: DUAL}
0x000000000001000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 001, sec: 0}
0x000000010001000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 001, sec: 1}
0x000000020001000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 001, sec: 2}
0x000000030001000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 001, sec: 3}
0x000001000001000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 001, sec: 0}
0x000001010001000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 001, sec: 1}
0x000001020001000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 001, sec: 2}
0x000001030001000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 001, sec: 3}
0x000000000002000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 002, sec: 0}
0x000000010002000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 002, sec: 1}
0x000000020002000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 002, sec: 2}
0x000000030002000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 002, sec: 3}
0x000001000002000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 002, sec: 0}
0x000001010002000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 002, sec: 1}
0x000001020002000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 002, sec: 2}
0x000001030002000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 002, sec: 3}
0x000000000003000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 003, sec: 0}
0x000000010003000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 003, sec: 1}
0x000000020003000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 003, sec: 2}
0x000000030003000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 003, sec: 3}
0x000001000003000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 003, sec: 0}
0x000001010003000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 003, sec: 1}
0x000001020003000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 003, sec: 2}
0x000001030003000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 003, sec: 3}
0x000000000004000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 004, sec: 0}
0x000000010004000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 004, sec: 1}
0x000000020004000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 004, sec: 2}
0x000000030004000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 004, sec: 3}
0x000001000004000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 004, sec: 0}
0x000001010004000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 004, sec: 1}
0x000001020004000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 004, sec: 2}
0x000001030004000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 004, sec: 3}
0x000000000005000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 005, sec: 0}
0x000000010005000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 005, sec: 1}
0x000000020005000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 005, sec: 2}
0x000000030005000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 005, sec: 3}
0x000001000005000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 005, sec: 0}
0x000001010005000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 005, sec: 1}
0x000001020005000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 005, sec: 2}
0x000001030005000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 005, sec: 3}
0x000000000006000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 006, sec: 0}
0x000000010006000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 006, sec: 1}
0x000000020006000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 006, sec: 2}
0x000000030006000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 006, sec: 3}
0x000001000006000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 006, sec: 0}
0x000001010006000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 006, sec: 1}
0x000001020006000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 006, sec: 2}
0x000001030006000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 006, sec: 3}
0x000000000007000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 007, sec: 0}
0x000000010007000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 007, sec: 1}
0x000000020007000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 007, sec: 2}
0x000000030007000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 007, sec: 3}
0x000001000007000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 007, sec: 0}
0x000001010007000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 007, sec: 1}
0x000001020007000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 007, sec: 2}
0x000001030007000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 007, sec: 3}
0x000000000008000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 008, sec: 0}
0x000000010008000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 008, sec: 1}
0x000000020008000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 008, sec: 2}
0x000000030008000a: {ch: 00, lun: 00, pl: 0, blk: 0010, pg: 008, sec: 3}
0x000001000008000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 008, sec: 0}
0x000001010008000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 008, sec: 1}
0x000001020008000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 008, sec: 2}
0x000001030008000a: {ch: 00, lun: 00, pl: 1, blk: 0010, pg: 008, sec: 3}
